category,text
NOTPOL,Bumping dj sefs mixtape nowww this is my music new skooooool
NOTPOL,#ieroween THE STORY OF IEROWEEN! THE VIDEO ->>>>>>>>>>>>>>>>>>>>>> http://bit.ly/2VFPAV <<<< JUST FOR FRANK !!! Ã§
NOTPOL,"trick or treating at the mall today; ZOO! last year we had left-overs, this year we ran out!"
NOTPOL,"@Ussk81 PMSL!!! I try not to stare but I can't help it, like compulsive viewing!!"
NOTPOL,@Sc0rpi0n676 btw - is there a remote chance i will see you later?
NOTPOL,So... was that my invite to whoop ur ass? Sounded like it. RT: @therealPRYSLEZZ: @gylliwilli it made nox & I just go out & buy rockband 2.
NOTPOL,@alexbelisle Just made my night! <3
NOTPOL,"[DAILY MIRROR]: Mariah: â€˜Iâ€™ve got big hair and wear tight dresses, but Iâ€™m not.. http://bit.ly/4m6Otm"
NOTPOL,@linyourface take pics of the babies...soooo cute
NOTPOL,Wearing my AWESOME wig!!! =][= and might be going to the beach today!!! :) And i might be able to invite my BFFFFF Temeka!!!
NOTPOL,Tonight was good now time for my treat burr
NOTPOL,RT @quantick: And the winner may well be: DavidFJBailey #horrificfootball Fred West Ham United.
NOTPOL,finish carving a jack a lantern and it looks cool
NOTPOL,Well I can't spell it out for you. It's never gonna be that simple.
NOTPOL,"I just took ""WHAT AGE WILL U DIE AT??????????????"" and got: 100-120! Try it: http://bit.ly/1yGrVO"
NOTPOL,@tonks_lupin *laughs* How are You? What's new?
NOTPOL,"Giving up my favourite vices for the whole of November: hotel chocolat, starbucks hot choc and all alcohol #jofearsthirty"
NOTPOL,Does Bankruptcy make me ineligible for the military? ?: My local recruiter does this make me ineligible to file.. http://bit.ly/3KC69O
NOTPOL,@MORITEOGGI Have fun bud?
NOTPOL,@brianhornback LOL How did you guess?
NOTPOL,"has iced the sugar cookie pumpkins and gangrenous feet, and is handing out candy to adorable wee goblins. So sweet! All of it."
NOTPOL,"well twitfolks and twitfam, I'm heading out...gotta chill wit wifey's fam..she lost her grandmother yesterday, so please pray for them."
NOTPOL,http://bit.ly/2uy5In | Hetengel : i get excited when a man show me how hot can he be!. #Xcams Where fantasy comes to live!
NOTPOL,"RT @yournutrition: ""Men and women belong to different species and communications between them is still in its infancy."" ??Bill Cosby"
NOTPOL,Finally realized that punching a time clock will not bring me financial success. Time to make my four college degrees work for me!
NOTPOL,Friends guilted me into passing out candy tonight. But I forgot to buy some. So I guess I won't. Darn.
NOTPOL,Boo! Great Frankenstein Jack-O-Lantern created by my friend Lord Doodlie of Blackstar Amplification. Have a... http://bit.ly/1kNd6g
NOTPOL,Tryin' to enjoy this beautiful Halloween Night!!!
NOTPOL,RT: @tplayfair Aaaah Mia...SMDH!>RT @therealmiamazin: RT: @gocharms @SimoneMarie â€¢wud PAY 2c alyuh & @tplayfair fight! â€¢ #justsaying! Lol
NOTPOL,Trying to make somebody love you is about as useless as trying to control who you fall in love with
NOTPOL,"selaw ca, selaaaaw RT @fatiaaisa: @icalsaurus udh biasa kali"
NOTPOL,my day was pretty much fucked up... stayin in; kids didnt go out; azi is gettin sick uurrgghh... wishin i was hittin it with da ladies
NOTPOL,eff you lol @HooDRiChSOD
NOTPOL,http://twitpic.com/ns5c3 - @ali_sweeney bry pic signed cma fest
NOTPOL,My ex told me I should be j holiday for Halloween...I told her she should be......deeez nutz.
NOTPOL,http://twitpic.com/nr3uw - Mischka halloween outtake 2
NOTPOL,http://twitpic.com/ns5wv - Almost done folks. I scare myself looking in the mirror! #fb
NOTPOL,RT @diane_m: Pumpkin muffins are cooling.
NOTPOL,I am working on starting my on clothing line. Looking for some good names to call it. not sure if I want to uae my real name for it.
NOTPOL,"she tells me to call her later and then refuses to pick up. :/ im used to being ignored but when its her, its a million times worse"
NOTPOL,"Just seen the Sister, Sister Episode when @Tahj_Mowry was Tia &Tamera's tutor..lol"
NOTPOL,@ddlovato hope you feel better :)
NOTPOL,"wants to thank everybody for coming out last night -- SNOOP, METHOD, RED, DEVIN, HUSTLE BOYS, their crew & special... http://bit.ly/1ACQik"
NOTPOL,"@radiobarz: ""Screamin' Jay Hawkins â€“ I Put a Spell on You"" â™« http://blip.fm/~fov54"
NOTPOL,"Da gucke ich mir lieber Ze Robertos Sixpack im #ZDF an, als Ich+Ich bei #SdR!!!!"
NOTPOL,"gotta souncheck for a performance tommorow at the iroko bar in brixton hill,hosted by dj profetess"
NOTPOL,ãƒ™ãƒ¨ãƒãƒƒã‚¿ã¯PS3ç‰ˆã®å‡ºæ¥ãŒãŠç²—æœ«ã ã£ãŸã®ã§ã€ç®±ç‰ˆã‚‚è³¼å…¥ã™ã‚‹ç†ç”±ãŒã§ãã¦å¬‰ã—ã„ã€‚ã€€ã©ã“ã¾ã§ã‚‚ãƒã‚¸ãƒ†ã‚£ãƒ–ï¼
NOTPOL,pulled a jessica.. got drunk and lost my phonee. =/ text me on my sisters phone 541-217-5302
NOTPOL,"RT @taptaptap Somethingâ€™s going down @MacHeist Check it out if you enjoy cool, free Mac software! http://macheist.com"
NOTPOL,"#7 congo natty - junglist - if you don't know it then go and find it. Im not talking d/l, go dig through some crates"
NOTPOL,"Listening to 'You Got Me' by The Roots @imeem http://x.imeem.com/bzG98MBCHm .... IamBeyonce ... xoxoxo..... Happy Halloween, Luv ...."
NOTPOL,was really disappointed to the season end of Entourage...in fact it was boarderline cheese..
NOTPOL,Update: Downgrading to 2.4 is the best way to get back Boxee and XMBC back on your Apple TV http://bit.ly/21WW0J by @johnbiggs
NOTPOL,#nxzerosetechaves 103
NOTPOL,no sÃ© pero me siento como mal :S tengo algo raro... como tristeza :S no quiero ir por allÃ¡ quisiera estar con mis amigas :(
NOTPOL,@kandismoye Are you trying to say I have a big bush? #mybushfitsmany @sweetlikesandi
NOTPOL,RT @youngwayne00: @msrai21 Dragonfly or shrine or the elastic arts gallery
NOTPOL,@RootsRawka I'm not gettin it don't trust it to me it's still new
NOTPOL,hope my peepz frenz n fam are havin fun cuz i am cruzn and bein me lol b safe everyone
NOTPOL,The day was Hell Good.
NOTPOL,"UK blew this one, but I will like Morgan Newton as our future quarterback..."
NOTPOL,"Chilling and smoking (fags & shisha) im so tired, & im supposed to go to a party later... Woo hoo for getting smashed? Hahaaa..."
NOTPOL,"Watching ""Milk"" for the second time ... this movie makes me cry. ""You cannot live on hope alone, but without it life is not worth living."""
NOTPOL,"@KTFit http://pic.gd/2b0635 Nice, very nice."
NOTPOL,"we're in LA, celebrating birthdays, basking in the beautiful weather and having a great time. weather is PERFECT - 80s, windy,sunny."
NOTPOL,Oh my!! I got my Google Wave Invite!!!! Thx!! @GoogleWave
NOTPOL,"Third round is better for Spina, he's more active, landing more and Del Valle sat back most of the round. 29-28 Spina"
NOTPOL,I feel like I have no life... just sitting watching some tv. i feel like i have no idea what time it is.
NOTPOL,HAHAHAHA. I just heard somee kid downstairs screaming his ballls offf. Wtf is my mom doing!
NOTPOL,Benerlah hahaha RT @missrichardrain: HAHAHAHAHAHA bnran? RT @EttaLiebtDich @raniasunggiardi
NOTPOL,@krisarch : totally. they need someone to put their foot up their asses and wake 'em up.
NOTPOL,RT @voezienet: <= tadi yang spam promote link itu ya? <= YAH BETULL! ANEH!
NOTPOL,Denny's New Better Burger Promotion - Buy One burger & fries plus 2 drinks and Get One burger & fries free - http://bit.ly/TEdBi
NOTPOL,#random I just seen a chick trip and fall on Normandie & 97th
NOTPOL,Top 3 weekly #lastfm artists: Inflatable Ingrid - 5. Gomez - 2. Fugazi - 2. http://bit.ly/tvZX1
NOTPOL,"@ekratzer It is a college town, so you never know. You could hang out with us tonight. I'm sure we'll have trick or treaters."
NOTPOL,"Extreme Halloween Present: My last post showed pictures of Halloween past of my son.Â  Here he is today, going o.. http://bit.ly/yNgmb"
NOTPOL,What type of music you do @ShaneBreen ?!
NOTPOL,"@stefh0ney you're the new ""stefaskank"" :D"
NOTPOL,Great Ted Talk. I was moved to action. But ask weak. Didn't know what to do next. http://bit.ly/q1y3n Now I have to work to find out.
NOTPOL,"The dulcet tones of the voice on the recording assured me that my call was important, but the speed of their answer convinced me otherwise."
NOTPOL,"QM DER RT NA FRASE, EU COLOCO NA LISTA ""SEGUE A LISTA DO @bretas_lucas SOH TEM GNT FODA LAH! http://tweepml.org/siga-ess... <SEGUE! """
NOTPOL,@ Tonic with the amigos
NOTPOL,RT @fili41: La chequera q usa Ch es con fondos de todos los venezolanos. El HdP sigue estafandole el futuro a millones de jovenes y niÃ±os !
NOTPOL,"He better be sick, hurt or dying to not be replying to my msgs and calls when you see this tweet u better make a real good excuse b4 u call"
NOTPOL,@jessgraaw CHAMA OS BOMBEIROS QQQQQQ- -n
NOTPOL,"@Roque_Freitas Quando a CÃ©lia voltar, ela te responde eu trabalho pra ela"
NOTPOL,Oh no Michael killed the doggy #Halloween
NOTPOL,Daylight Savings Time Ends Tonight: Get your extra hour of sleep tonight and then join us for church at 10:30am! @lafayettecc
NOTPOL,"@kimberlyfarraj Yes, your new avatar frightened me as well. LOL =) How are you this evening? Did you get all of your work done?"
NOTPOL,@fyifootballplay Don't say that! Everyone who follows you knows you're the man for sports news. Great work. Keep it up.
NOTPOL,"@SmoothCrimina24 After the Washington loss, it was gone. #USC"
NOTPOL,"Imma Miss My BooBooKitty!!! Eventhough my MySpace status has said ""Single"" since I had da page!"
NOTPOL,#listeningto david cook - always be my baby
